NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Adult,Older Adult,Child,,,
NCT06048315,"A Single Center, Single Arm Clinical Study on the Treatment of Advanced Non-small Cell Lung Cancer With Positive EGFR Sensitive Mutations and Failed EGFR TKIs With the Combination of Enrotinib and Paclitaxel Monoclonal Antibody",https://clinicaltrials.gov/study/NCT06048315,NOT_YET_RECRUITING,Lung Cancer|TKI Resistance|EGFR Sensitive Mutation|Anlotinib|Pianzumab,DRUG: Anlotinib|DRUG: Penpulimab,Degan Lu,Wu Jieping Medical Foundation,ALL,"ADULT, OLDER_ADULT",PHASE3,52,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT07309289,NALIRIFOX Plus Targeted Therapy Versus FOLFOX Plus Targeted Therapy as First-line Treatment for Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT07309289,RECRUITING,Metastatic Colorectal Cancer (CRC),DRUG: NALIRIFOX plus targeted therapy|DRUG: FOLFOX plus targeted therapy,Shanghai Zhongshan Hospital,None listed,ALL,"ADULT, OLDER_ADULT",PHASE3,144,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06973525,This Study Aims to Optimize Neoadjuvant Therapy for HER2-positive Breast Cancer by Implementing a Dynamic Monitoring-guided Treatment Strategy.,https://clinicaltrials.gov/study/NCT06973525,NOT_YET_RECRUITING,HER2-positive Breast Cancer,"DRUG: Patients will initially receive trastuzumab, pyrotinib, and albumin-bound paclitaxel. Those who do not achieve a radiological response after Cycle 2 will switch to SHR-A1811 (a HER2-targeted antibody|DRUG: Patients will initially receive trastuzumab, pyrotinib, and nab-paclitaxel. Those who achieve a partial response (PR) or complete response (CR) after cycle 2 will continue on the same regimen.",Hebei Medical University Fourth Hospital,None listed,FEMALE,"ADULT, OLDER_ADULT",PHASE2,30,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06582940,Elimination of PTV Margins Based on MRI-guided Adaptive Stereotactic Radiotherapy for Non-small Cell Lung Cancer With Brain Metastasis,https://clinicaltrials.gov/study/NCT06582940,RECRUITING,MRI-guided Adaptive Radiotherapy|Non-small Cell Lung Cancer|Brain Metastasis,RADIATION: MRI-guided adaptive SRT|RADIATION: Conventional SRT,Sun Yat-sen University,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,168,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT03851640,A Trial Evaluating the Efficacy and Safety of HC-1119 Soft Capsules in Patients with Metastatic Castration-Resistant Prostate Cancer (mCRPC).,https://clinicaltrials.gov/study/NCT03851640,RECRUITING,MCRPC,DRUG: HC-1119|DRUG: placebo,Hinova Pharmaceuticals Inc.,None listed,MALE,"ADULT, OLDER_ADULT",PHASE3,417,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: SEQUENTIAL | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: TREATMENT",1,1,0,,,
NCT06311968,The Clinical Study of Post-operative Proton Radiotherapy for Thymus Tumor,https://clinicaltrials.gov/study/NCT06311968,RECRUITING,Thymus Epithelial Tumor|Proton Radiotherapy|Radiation Toxicity,RADIATION: Proton radiotherapy|OTHER: combined platinum based chemotherapy,Jian Chen,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,55,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT07158918,"ABL103 in Combination With Pembrolizumab, With or Without Taxane in Advanced or Metastatic Solid Tumors",https://clinicaltrials.gov/study/NCT07158918,RECRUITING,Solid Tumors,DRUG: ABL103|DRUG: KEYTRUDA® (pembrolizumab)|DRUG: Taxane,"ABL Bio, Inc.",Merck Sharp & Dohme LLC,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,65,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: SEQUENTIAL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT02246621,A Study of Nonsteroidal Aromatase Inhibitors Plus Abemaciclib (LY2835219) in Postmenopausal Women With Breast Cancer,https://clinicaltrials.gov/study/NCT02246621,ACTIVE_NOT_RECRUITING,Breast Cancer,DRUG: Abemaciclib|DRUG: Anastrozole|DRUG: Letrozole|DRUG: Placebo,Eli Lilly and Company,None listed,FEMALE,"ADULT, OLDER_ADULT",PHASE3,493,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER) | Primary Purpose: TREATMENT",1,1,0,,,
NCT06112704,HS-20093 in Patients with Advanced Esophageal Carcinoma and Other Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06112704,RECRUITING,Advanced Solid Tumor,DRUG: HS-20093,Hansoh BioMedical R&D Company,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,220,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: SEQUENTIAL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT02532452,Third Party Viral Specific T-cells (VSTs),https://clinicaltrials.gov/study/NCT02532452,RECRUITING,Viral Infection|Viral Reactivation|Infection in an Immunocompromised Host,BIOLOGICAL: Viral Specific VST Infusion,"Children's Hospital Medical Center, Cincinnati",None listed,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,750,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,1,,,
